Year,US Oil (10^3 barrels/yr),World Oil (10^6 barrels/yr)
1857,0.00,0.00
1858,0.00,0.00
1859,2.00,0.01
1860,500.00,0.51
1861,2114.00,2.13
1862,3057.00,3.09
1863,2611.00,2.76
1864,2116.00,2.30
1865,2498.00,2.72
1866,3598.00,3.90
1867,3347.00,3.71
1868,3646.00,3.99
1869,4215.00,4.70
1870,5261.00,5.80
1871,5205.00,5.73
1872,6293.00,6.88
1873,9894.00,10.84
1874,10927.00,11.93
1875,11963.00,13.15
1876,9133.00,11.05
1877,13350.00,15.75
1878,15397.00,18.42
1879,19914.00,23.60
1880,26286.00,30.02
1881,27661.00,31.99
1882,30511.00,35.87
1883,23450.00,30.26
1884,24218.00,35.97
1885,21859.00,36.77
1886,28065.00,47.24
1887,28283.00,47.81
1888,27612.00,52.17
1889,35164.00,61.51
1890,45824.00,76.63
1891,54293.00,91.10
1892,50515.00,88.74
1893,48431.00,92.04
1894,49344.00,89.34
1895,52892.00,103.69
1896,60960.00,114.20
1897,60476.00,121.99
1898,55364.00,124.98
1899,57071.00,131.15
1900,63621.00,149.14
1901,69389.00,167.44
1902,88767.00,181.81
1903,100461.00,194.88
1904,117081.00,217.95
1905,134717.00,215.09
1906,126494.00,213.26
1907,166095.00,264.25
1908,178527.00,285.29
1909,183171.00,298.71
1910,209557.00,327.76
1911,220449.00,344.36
1912,222935.00,352.44
1913,248446.00,385.35
1914,265763.00,407.54
1915,281104.00,432.03
1916,300767.00,457.50
1917,335316.00,502.89
1918,355928.00,503.52
1919,378367.00,555.88
1920,442929.00,688.88
1921,472183.00,766.00
1922,557531.00,858.90
1923,732407.00,1015.74
1924,713940.00,1014.32
1925,763743.00,1067.93
1926,770874.00,1096.82
1927,901129.00,1262.58
1928,901474.00,1324.77
1929,1007323.00,1485.87
1930,898011.00,1411.90
1931,851081.00,1373.66
1932,785159.00,1310.30
1933,905656.00,1441.00
1934,908065.00,1521.47
1935,996596.00,1654.95
1936,1099687.00,1791.54
1937,1279160.00,2039.23
1938,1214355.00,1988.04
1939,1264962.00,2086.16
1940,1353214.00,2149.82
1941,1402228.00,2220.66
1942,1386645.00,2093.10
1943,1505613.00,2256.64
1944,1677904.00,2592.29
1945,1713655.00,2594.70
1946,1733939.00,2745.43
1947,1866939.00,
1948,2020165.00,
1949,1841940.00,
1950,1973574.00,
1951,2247711.00,
1952,2289836.00,
1953,2357082.00,
1954,2314988.00,
1955,2484428.00,
1956,2617283.00,
1957,2616901.00,
1958,2448987.00,
1959,2574590.00,
1960,2574933.00,7650.40
1961,2621758.00,8186.95
1962,2676189.00,8876.80
1963,2752723.00,9537.45
1964,2786822.00,10351.40
1965,2848514.00,11059.50
1966,3027763.00,12019.45
1967,3215742.00,12910.05
1968,3329042.00,14103.60
1969,3371751.00,15216.85
1970,3517450.00,16749.85
1971,3453914.00,17709.80
1972,3455368.00,18666.10
1973,3360903.00,20323.20
1974,3202585.00,20337.80
1975,3056779.00,19282.95
1976,2976180.00,20929.10
1977,3009265.00,21794.15
1978,3178216.00,21958.40
1979,3121310.00,22874.55
1980,3146365.00,21754.00
1981,3128624.00,20469.20
1982,3156715.00,19520.20
1983,3170999.00,19439.90
1984,3249696.00,19888.85
1985,3274553.00,19702.70
1986,3168252.00,20523.95
1987,3047378.00,20684.55
1988,2979123.00,21440.10
1989,2778773.00,21848.90
1990,2684687.00,22108.05
1991,2707039.00,21976.65
1992,2624632.00,21976.65
1993,2499033.00,22133.60
1994,2431476.00,22235.80
1995,2394268.00,22713.95
1996,2366017.00,26163.20
1997,2354831.00,26975.33
1998,2281919.00,27523.56
1999,2146732.00,27222.80
2000,2130707.00,28281.66
2001,2117511.00,28292.61
2002,2123179.00,28053.17
2003,2039255.00,28116.30
2004,1991856.10,29318.81
2005,1900089.63,29658.23
2006,1885208.58,29805.51
2007,1895680.43,29759.51
